Abbeville;29,975;-92,1265
Aberdeen;46,9757;-123,8094
Abilene;32,4543;-99,7384
Abingdon;36,7089;-81,9713
Abington;40,1108;-75,1146
Absecon;39,4228;-74,4944
Accokeek;38,6745;-77,0023
Acton;42,4843;-71,4378
Acushnet;41,7139;-70,9012
Acworth;34,0566;-84,6715
Ada;34,7683;-96,6689
Adams;42,6269;-73,1187
Adams Township;40,7092;-80,012
Addis;30,3652;-91,2659
Addison;41,9314;-88,0085
Adel;31,1272;-83,4232
Adelanto;34,5815;-117,4397
Adelphi;39,0017;-76,9649
Adrian;41,8994;-84,0446
Affton;38,5499;-90,3264
Agawam;42,0657;-72,6526
Agoura Hills;34,151;-118,7608
Aguadilla;18,4382;-67,1536
Ahuimanu;21,4379;-157,8404
Aibonito;18,1398;-66,2659
Aiea;21,3865;-157,9232
Aiken;33,531;-81,7268
Air Force Academy;38,9942;-104,8639
Airmont;41,0992;-74,099
Airway Heights;47,646;-117,5792
Akron;41,0798;-81,5219
Alabaster;33,2198;-86,8225
Alafaya;28,5278;-81,1865
Alameda;37,767;-122,2672
Alamo;26,1811;-98,1177
Alamo Heights;29,4828;-98,4682
Alamogordo;32,8837;-105,9624
Alamosa;37,4751;-105,8769
Albany;42,6664;-73,7987
Albemarle;35,3594;-80,1915
Albert Lea;43,6547;-93,3642
Albertson;40,7715;-73,6482
Albertville;34,2634;-86,2107
Albion;42,2478;-84,7572
Albuquerque;35,1053;-106,6464
Alcoa;35,8073;-83,9752
Alden;42,9114;-78,5211
Alderwood Manor;47,8147;-122,2672
Aldine;29,9122;-95,3785
Aledo;32,6973;-97,607
Alexander City;32,9242;-85,9361
Alexandria;38,8185;-77,0861
Alfred;42,2385;-77,7891
Algona;43,0743;-94,2302
Algonquin;42,1629;-88,3159
Alhambra;34,084;-118,1355
Alice;27,7556;-98,0653
Aliquippa;40,6155;-80,2547
Aliso Viejo;33,5792;-117,7289
Allegan;42,5299;-85,8462
Allegany;42,0869;-78,5212
Allegheny Township;40,6151;-79,6439
Allen;33,1088;-96,6735
Allen Park;42,2595;-83,2107
Allendale;42,9851;-85,9509
Allentown;40,5961;-75,4756
Alliance;40,9107;-81,1189
Allison Park;40,573;-79,9603
Allouez;44,4721;-88,0261
Alma;43,38;-84,6556
Aloha;45,492;-122,8726
Alondra Park;33,8885;-118,335
Alpena;45,074;-83,4399
Alpharetta;34,0704;-84,2739
Alpine;32,8439;-116,7585
Alsip;41,6701;-87,7368
Alta Sierra;39,1237;-121,0523
Altadena;34,1928;-118,1345
Altamont;42,1981;-121,7249
Altamonte Springs;28,6615;-81,3953
Alton;38,9034;-90,1523
Altoona;40,5082;-78,4007
Altus;34,6566;-99,3051
Alum Rock;37,3695;-121,8241
Alva;36,7892;-98,6648
Alvin;29,3871;-95,2933
Amarillo;35,1988;-101,8311
Ambler;40,1564;-75,2215
Ambridge;40,5922;-80,2265
Amelia;39,0229;-84,2184
American Canyon;38,1796;-122,2583
American Fork;40,3792;-111,7952
Americus;32,0736;-84,2249
Ames;42,0259;-93,6215
Amesbury;42,853;-70,9446
Amherst;43,0117;-78,7569
Amherst Center;42,3757;-72,5188
Amite City;30,7323;-90,5133
Amity;40,2905;-75,7477
Amityville;40,6696;-73,4156
Ammon;43,4746;-111,9569
Amory;33,9813;-88,4823
Amsterdam;42,942;-74,1907
Anaconda;46,0607;-113,0679
Anacortes;48,4878;-122,6292
Anadarko;35,0652;-98,2441
Anaheim;33,839;-117,8572
Anamosa;42,1091;-91,2758
Anasco;18,286;-67,1411
Anchorage;61,1508;-149,1091
Ancient Oaks;40,536;-75,5852
Andalusia;31,3101;-86,4781
Anderson;40,0891;-85,6893
Andover;42,6466;-71,1651
Andrews;32,3208;-102,552
Angier;35,512;-78,7405
Angleton;29,1718;-95,4291
Angola;41,6433;-85,0051
Ankeny;41,7285;-93,6033
Ann Arbor;42,2755;-83,7312
Anna;33,347;-96,5503
Annandale;38,8324;-77,196
Annapolis;38,9706;-76,5047
Annapolis Neck;38,9408;-76,4997
Anniston;33,6712;-85,8136
Anoka;45,2099;-93,3893
Ansonia;41,3443;-73,0689
Antelope;38,7153;-121,361
Anthem;33,856;-112,1168
Anthony;32,0132;-106,5984
Antigo;45,1413;-89,1556
Antioch;37,9789;-121,7958
Antis;40,6221;-78,3563
Antrim;39,7863;-77,722
Apache Junction;33,3985;-111,5351
Apex;35,7239;-78,8728
Apollo Beach;27,7618;-82,4002
Apopka;28,7014;-81,5304
Apple Valley;34,5328;-117,2104
Appleton;44,2779;-88,3891
Applewood;39,7524;-105,1605
Aptos;36,9912;-121,8934
Aquia Harbour;38,4597;-77,3806
Arab;34,3309;-86,4991
Aransas Pass;27,8877;-97,1134
Arbutus;39,2428;-76,6922
Arcadia;34,1342;-118,0373
Arcata;40,8615;-124,0757
Archbald;41,5077;-75,5453
Archdale;35,9033;-79,9592
Archer Lodge;35,6907;-78,3749
Arden Hills;45,0721;-93,167
Arden-Arcade;38,6034;-121,381
Ardmore;40,0033;-75,2947
Arecibo;18,4491;-66,7387
Arizona City;32,7506;-111,6707
Arkadelphia;34,1255;-93,0725
Arkansas City;37,0726;-97,0385
Arlington;32,6998;-97,125
Arlington Heights;42,0955;-87,9825
Arnold;39,0437;-76,4974
Arroyo;17,9706;-66,0609
Arroyo Grande;35,1241;-120,5845
Artesia;33,8676;-118,0806
Artondale;47,3024;-122,6391
Arvada;39,8321;-105,1511
Arvin;35,1944;-118,8306
Asbury;42,5119;-90,7795
Asbury Lake;30,0472;-81,7855
Asbury Park;40,2226;-74,0119
Ashburn;14305;-77,4711
Ashburnham;42,659;-71,9252
Asheboro;35,7158;-79,8129
Asheville;35,5704;-82,5536
Ashland;37,6942;-122,1159
Ashtabula;41,8806;-80,7984
Ashton-Sandy Spring;39,1515;-77,0065
Ashville;39,7239;-82,9575
Ashwaubenon;44,4796;-88,0889
Aspen;39,195;-106,8369
Aspen Hill;39,0928;-77,0823
Aston;39,8718;-75,4348
Astoria;46,1856;-123,8053
Atascadero;35,4827;-120,6858
Atascocita;29,9777;-95,1953
Atchison;39,5625;-95,1367
Athens;33,9508;-83,3689
Atherton;37,4539;-122,2032
Athol;42,5841;-72,2177
Atkinson;42,837;-71,1605
Atlanta;33,7627;-84,4224
Atlantic;41,3957;-95,0138
Atlantic Beach;30,3371;-81,4128
Atlantic City;39,3797;-74,4527
Atmore;31,0927;-87,4763
Atoka;35,4239;-89,7861
Attalla;34,0049;-86,104
Attica;42,8257;-78,249
Attleboro;41,9311;-71,295
Atwater;37,3543;-120,5981
Aubrey;33,2872;-96,9622
Auburn;32,6087;-85,4899
Auburn Hills;42,6735;-83,2447
Auburndale;28,0962;-81,8011
Audubon;39,8906;-75,0722
August;37,9797;-121,2625
Augusta;33,3645;-82,0708
Aurora;39,7087;-104,7273
Austell;33,82;-84,645
Austin;30,3004;-97,7522
Austintown;41,0932;-80,7405
Avenal;36,0311;-120,1162
Avenel;40,5839;-74,272
Aventura;25,9565;-80,1372
Avocado Heights;34,0381;-118,0026
Avon;41,4485;-82,0187
Avon Lake;41,4945;-82,016
Avon Park;27,5908;-81,5081
Avondale;33,3858;-112,3236
Avra Valley;32,4195;-111,3393
Ayden;35,4694;-77,4167
Ayer;42,5628;-71,5718
Azalea Park;28,5473;-81,2956
Azle;32,8955;-97,5379
Aztec;36,819;-107,9826
Azusa;34,1386;-117,9124
Babylon;40,6924;-73,3585
Bacliff;29,5077;-94,988
Badger;64,8006;-147,3877
Bailey's Crossroads;38,8477;-77,1305
Bainbridge;30,9046;-84,5727
Bainbridge Island;47,6439;-122,5434
Baker;30,5833;-91,1581
Baker City;44,7749;-117,832
Bakersfield;35,3529;-119,0359
Balch Springs;32,7194;-96,6151
Baldwin;40,6634;-73,6104
Baldwin Harbor;40,6296;-73,6025
Baldwin Park;34,0829;-117,9721
Baldwinsville;43,157;-76,3318
Ballenger Creek;39,3807;-77,4205
Ballston;42,9542;-73,8794
Ballston Spa;43,0068;-73,8525
Ballwin;38,5951;-90,55
Baltimore;39,3051;-76,6144
Baltimore Highlands;39,2355;-76,6367
Bangor;44,8322;-68,7906
Bangor Base;47,7227;-122,7146
Banning;33,946;-116,8992
Bar Harbor;44,3852;-68,2711
Baraboo;43,4695;-89,7376
Barberton;41,0094;-81,6038
Barbourville;36,8667;-83,885
Bardmoor;27,8575;-82,7534
Bardstown;37,8174;-85,4548
Bargersville;39,5412;-86,2004
Barling;35,3284;-94,2792
Barnegat;39,7665;-74,2773
Barnesville;33,0509;-84,1527
Barnhart;38,336;-90,4046
Barnstable;41,6722;-70,3599
Barre;44,1997;-72,5083
Barrington;41,7443;-71,3145
Barstow;34,8661;-117,0472
Bartlesville;36,7357;-95,9453
Bartlett;35,2337;-89,8195
Barton;42,0812;-76,4982
Bartonville;40,6398;-89,6608
Bartow;27,8868;-81,8213
Basalt;39,3663;-107,0414
Basehor;39,1332;-94,9333
Bastrop;30,1118;-97,3257
Batavia;41,8479;-88,311
Batesburg-Leesville;33,9125;-81,5313
Batesville;35,7687;-91,6226
Bath;42,3219;-77,3083
Baton Rouge;30,4418;-91,131
Battle Creek;42,2986;-85,2296
Battle Ground;45,7765;-122,5413
Battlefield;37,1194;-93,3683
Baxley;31,7643;-82,3508
Baxter;46,3426;-94,2793
Bay City;43,5903;-83,8886
Bay Harbor Islands;25,8878;-80,1335
Bay Hill;28,4558;-81,5122
Bay Minette;30,893;-87,7912
Bay Point;38,0329;-121,9614
Bay Shore;40,7317;-73,2505
Bay St, Louis;30,3281;-89,3774
Bay Village;41,4851;-81,9315
Bayamon;18,3793;-66,1635
Bayonet Point;28,3254;-82,6834
Bayonne;40,6661;-74,1141
Bayou Blue;29,6341;-90,6732
Bayou Cane;29,6244;-90,751
Bayport;40,746;-73,0546
Bayshore Gardens;27,4345;-82,5794
Baytown;29,7586;-94,9669
Bayville;40,9076;-73,5602
Baywood;40,7533;-73,29
Beach Park;42,4261;-87,8584
Beachwood;41,4759;-81,503
Beacon;41,5036;-73,9655
Beacon Falls;41,439;-73,0568
Beacon Square;28,2118;-82,7504
Bear;39,6188;-75,6804
Bear Valley Springs;35,1775;-118,646
Beardstown;39,9994;-90,4178
Beatrice;40,2737;-96,7454
Beaufort;32,4597;-80,7235
Beaumont;30,0849;-94,1451
Beaver Dam;43,469;-88,8308
Beaver Falls;40,762;-80,3225
Beavercreek;39,731;-84,0624
Beaverton;45,4779;-122,8168
Beckett Ridge;39,3448;-84,4381
Beckley;37,7878;-81,1841
Bedford;32,8464;-97,135
Bedford Heights;41,4042;-81,5053
Bedminster;40,6693;-74,6824
Bee Cave;30,3084;-97,9629
Bee Ridge;27,2855;-82,4731
Beebe;35,0712;-91,8996
Beech Grove;39,7157;-86,0871
Beecher;43,0903;-83,7039
Beekman;41,6042;-73,6945
Beekmantown;44,7719;-73,4997
Beeville;28,4059;-97,7494
Bel Air;39,5348;-76,346
Bel Air North;39,5544;-76,3733
Bel Air South;39,5051;-76,3197
Bel Aire;37,7749;-97,2457
Belchertown;42,2787;-72,4004
Belding;43,0968;-85,2331
Belen;34,7115;-106,7985
Belgrade;45,7796;-111,1751
Bell;33,9801;-118,1798
